identifier1,identifier2,lemma,grouping_x,grouping_y,context_x,context_y,judgment
fic_1812_8987.txt-1734-16,fic_1822_7243.txt-2100-12,head_nn,1,1,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.","A sudden shivering ran over him, from the crown of his head to the sole of his foot; and his heart bounded against his Indian breast plate of ornamented silver: and there was a gasping, for a moment, as of intellectual suffocation, in his strong breath -- his voice died away, and his face was hidden in the lifted folds of his panther skin.",2.0
fic_1823_7248.txt-2564-3,fic_1812_8987.txt-1734-16,head_nn,1,1,You shake your head.,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1844_7187.txt-809-29,fic_1812_8987.txt-1734-16,head_nn,1,1,"Each Ranger reined his steed up by the trunk of some giant tree, and lifting his rifle to his shoulder, brought its tube to bear upon the head of a particular dragoon, or in common parlance "" picked his man; "" and as the British soldiers turned to pursue their scattered foes, a stunning report broke from the woods on either side, and of the twenty-three rifle balls, nineteen proved faithful to the aim, and as many steeds were without riders, while the ground was strewed with the British dead.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1812_8987.txt-1734-16,fic_1846_557.txt-526-26,head_nn,1,1,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.","Mr. Clapp had no sooner found seats for his wife and child, than he began to look about him; his eye wandered over the heads around, apparently in quest of some one; at length his search seemed successful; it rested on a man, whose whole appearance and dress proclaimed him to be a sailor.",2.0
fic_1812_8987.txt-1734-16,fic_1847_7094.txt-2660-15,head_nn,1,1,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.","They say one must never laugh when they see the devil or a death's head! """,3.0
fic_1849_7196.txt-1011-20,fic_1812_8987.txt-1734-16,head_nn,1,1,"Braddock's jet black horse -- it was the sixth he had bestrode on this fatal day -- hung his head over the neck of Washington's grey steed, as the riders conversed in hurried and subdued tones.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1851_201.txt-37-18,fic_1812_8987.txt-1734-16,head_nn,1,1,"Again, however, and again, and yet other agains, she could not help turning her head to the window to see how","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1854_9826.txt-552-22,fic_1812_8987.txt-1734-16,head_nn,1,1,"He then spread down a garment, taken from his pack, for the girl to lie upon, and took her head affectionately upon his lap. ""","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1960_5311.txt-3283-13,fic_1812_8987.txt-1734-16,head_nn,2,1,"Skop sank into an apparent doze in his chair and Jason, his head propped against the pull of gravity by one arm, began a working sketch of his machine.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1961_10405.txt-1848-15,fic_1812_8987.txt-1734-16,head_nn,2,1,"in his own vigil, in the chair so recently arranged for him, his head bowed over his knees.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1812_8987.txt-1734-16,fic_2002_47815.txt-261-3,head_nn,1,2,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.","She raised her head, but not to look at Larry, who was now sitting on the trunk by the roots. """,2.0
fic_2007_33734.txt-118-25,fic_1812_8987.txt-1734-16,head_nn,2,1,"Eduard was brilliant: He had a master's degree in comparative literature, spoke five languages fluently, and could do calculus in his head.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
fic_1812_8987.txt-1734-16,fic_2009_36736.txt-88-4,head_nn,1,2,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",The voice in his head was abruptly silenced.,2.0
mag_1991_422597.txt-491-16,fic_1812_8987.txt-1734-16,head_nn,2,1,"As Morris's dancers fly through the first segment of L'Allegro, the child shakes her head, whispers to her father something that translates roughly: These women like too much the Big Macs. '","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",2.0
mag_1998_69124.txt-151-3,fic_1812_8987.txt-1734-16,head_nn,2,1,"David put his head in the sand, but we finally had some talks.","This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.",3.0
fic_1812_8987.txt-1734-16,news_2004_640262.txt-59-5,head_nn,1,2,"This villain has disclosed their horrid crimes, And fixed the charge of murder on their heads.","Soul shrine From Graceland, head to another Memphis shrine: Stax Records.",1.0
fic_1813_7433.txt-17-51,fic_1823_7977.txt-324-17,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","But now to greet and safely guide This wonder o'er the lonely tide, Around see dolphins circling play, Then gaily darting, lead the way; As sea-nymphs ' fore their goddess ' car, When Neptune's trident sway'd afar; And from their writhen shells the song Might still entrancing steal along.",2.0
fic_1827_7169.txt-2470-7,fic_1813_7433.txt-17-51,circle_vb,1,1,", did the wine cup as it circled round the board, fill with its potent yet smiling poison, the ready hand of Sloughter -- and besides, with many a guileful pledge for his health, his happiness, and his fortunes, hollow and empty wishes, which went no further than the formation of the utterance, did the artful conspirators who were around him, ply his courtesy with many a recurring draught, compelling him in pretended friendship, to drain goblet on goblet, until sense reeled under the influence of the liquor he had drank, and scarce a faculty remained over which the powerful grape did not domineer.","Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",3.0
fic_1813_7433.txt-17-51,fic_1832_8751.txt-60-12,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",Neri The battle's won; Giordano will return With greener laurels circled round his brow.,2.0
fic_1813_7433.txt-17-51,fic_1847_9120.txt-171-38,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","The language, "" as he says of Richter, "" groans with indescribable metaphors and allusions to all things, human and divine, flowing onward, not like a river, but like an inundation; circling in complex eddies, chafing and gurgling, now this way, now that; "" but in Carlyle, "" the proper current "" never "" sinks out of sight amid the boundless uproar. """,2.0
fic_1813_7433.txt-17-51,fic_1853_4303.txt-3024-10,circle_vb,1,1,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.","In a few hours more a small speck was seen circling in the air. """,2.0
fic_1854_3384.txt-7277-11,fic_1813_7433.txt-17-51,circle_vb,1,1,But thy bright fame and memory Shall send a chime From circling ages down,"Thus fix'd, a dreadful hour I past, And now I heard, as from a blast, A voice pronounce my name: Nor long upon my ear it dwelt, When round me ' gan the air to melt, And motion once again I felt Quick circling o'er my frame.",2.0
